questions,A,B,C,D,reponse
Quelle planète est la plus proche du soleil ?,Mercure,Vénus,Mars,Jupiter,Mercure
Quelle est la plus grande planète de notre système solaire ?,Neptune,Jupiter,Saturne,Uranus,Jupiter
Quel est le nom de notre galaxie ?,Voie lactée,Andromède,Sombrero,Pinwheel,Voie lactée
Quel est le plus grand satellite de la Terre ?,Deimos,La Lune,Phobos,Europe,La Lune
Quelle planète est connue comme la "planète rouge" ?,Jupiter,Mars,Saturne,Uranus,Mars
Quel est le nom de la première personne à avoir marché sur la Lune ?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Alan Shepard,Neil Armstrong
Combien de planètes y a-t-il dans notre système solaire ?,7,8,9,10,8
Quelle planète est surnommée la "géante gazeuse" ?,Mars,Jupiter,Neptune,Mercure,Jupiter
Quelle est la planète la plus éloignée du soleil ?,Uranus,Neptune,Pluton,Saturne,Neptune
Quel est le nom de la ceinture d'astéroïdes entre Mars et Jupiter ?,Kuiper,Oort,Asteria,Ceinture d'astéroïdes,Ceinture d'astéroïdes
Quelle est la plus petite planète de notre système solaire ?,Vénus,Mars,Mercure,Terre,Mercure
Quel est le nom du plus grand volcan du système solaire situé sur Mars ?,Olympus Mons,Mount Everest,Mauna Loa,Vesuvius,Olympus Mons
Quelle planète est célèbre pour ses anneaux magnifiques ?,Mars,Jupiter,Saturne,Uranus,Saturne
Quelle planète est souvent appelée la "jumelle" de la Terre en raison de sa taille similaire ?,Mars,Vénus,Mercure,Pluton,Vénus
Quelle est la planète la plus chaude de notre système solaire en raison de son atmosphère dense ?,Vénus,Mars,Mercure,Jupiter,Vénus
Quel est le nom du télescope spatial qui a fourni des images incroyables de l'univers ?,Hubble,Kepler,Galileo,Cassini,Hubble
Quelle est la distance moyenne entre la Terre et le Soleil ?,100 millions de kilomètres,150 millions de kilomètres,200 millions de kilomètres,250 millions de kilomètres,150 millions de kilomètres
Quelle est la planète la plus proche de la Terre ?,Vénus,Mars,Mercure,Jupiter,Vénus
Quel est le nom du célèbre télescope spatial qui a permis de découvrir de nombreuses exoplanètes ?,Kepler,Hubble,Chandra,Spitzer,Kepler
Quelle planète est souvent appelée la "géante glacée" ?,Uranus,Neptune,Mars,Pluton,Neptune
Quel est le nom du premier satellite artificiel placé en orbite autour de la Terre ?,Apollo 11,Sputnik 1,Explorer 1,Vanguard 1,Sputnik 1
Quelle planète est parfois appelée la "planète bleue" en raison de ses océans ?,Mars,Terre,Neptune,Uranus,Terre
Quelle planète est connue pour ses célèbres anneaux composés principalement de glace ?,Jupiter,Mars,Saturne,Uranus,Saturne
Quel est le nom du rover de la NASA qui explore actuellement la surface de Mars ?,Opportunity,Spirit,Curiosity,Sojourner,Curiosity
Quelle planète est la deuxième plus grande du système solaire ?,Mars,Jupiter,Saturne,Uranus,Saturne
Quelle est la première planète du système solaire à posséder des anneaux ?,Jupiter,Mars,Saturne,Uranus,Saturne
Quel est le nom de la mission spatiale qui a conduit à la première alunissage humain ?,Apollo 11,Mercury-Redstone 3,Gemini 4,Apollo 13,Apollo 11
Quel est le nom de la sonde spatiale qui a survolé Pluton en 2015 ?,Voyager 1,New Horizons,Cassini,Pioneer 10,New Horizons
Quelle planète est parfois appelée la "planète des anneaux" ?,Jupiter,Mars,Saturne,Uranus,Saturne
Quelle est la planète la plus froide de notre système solaire ?,Mars,Neptune,Uranus,Pluton,Neptune
Quelle est la première planète du système solaire ?,Mercure,Vénus,Mars,Terre,Mercure
